cohort_id,cohort_code,start_date,end_date,size
Cohort#,B456514,1.6805E+12,1.68296E+12,1500
Cohort#,B328821,1.67385E+12,1.67691E+12,1000
Cohort#,B289256,1.6684E+12,1.67108E+12,100000
Cohort#,B0VCB0F,1.66389E+12,1.66389E+12,40
Cohort#,B908347,1.67324E+12,1.67631E+12,100000
Cohort#,B306047,1.67324E+12,1.67631E+12,10000
Cohort#,B883644,1.65665E+12,1.65924E+12,1500
Cohort#,B280844,1.6684E+12,1.67108E+12,100000
Cohort#,B466039,1.66477E+12,1.66745E+12,100000
Cohort#,B606140,1.67324E+12,1.67631E+12,10000
Cohort#,B759124,1.66537E+12,1.66853E+12,1500
Cohort#,B304681,1.66477E+12,1.66745E+12,100000
Cohort#,B809432,1.65789E+12,1.65789E+12,143
Cohort#,B495792,1.65789E+12,1.6579E+12,1771
Cohort#,B825986,1.6805E+12,1.68296E+12,1500
Cohort#,B561611,1.6805E+12,1.68296E+12,1500
Cohort#,B844465,1.67324E+12,1.67631E+12,100000
Cohort#,B888584,1.67514E+12,1.67804E+12,1500
Cohort#,B688987,1.66537E+12,1.66853E+12,1500
Cohort#,B353436,1.67817E+12,1.68063E+12,1500
Cohort#,B821192,1.65665E+12,1.65924E+12,1000
Cohort#,B988921,1.67324E+12,1.67631E+12,100000
Cohort#,B689052,1.65665E+12,1.65924E+12,1500
Cohort#,B143218,1.67294E+12,1.76764E+12,500
Cohort#,B399823,1.65485E+12,1.65511E+12,11
Cohort#,B222554,1.66779E+12,1.67086E+12,1500
Cohort#,B488218,1.65665E+12,1.65924E+12,1500
Cohort#,B155364,1.66598E+12,1.66866E+12,100000
Cohort#,B701678,1.66329E+12,1.66329E+12,50
Cohort#,B637075,1.6579E+12,1.6579E+12,999
Cohort#,B495920,1.66209E+12,1.66525E+12,1500
Cohort#,B880483,1.66268E+12,1.66268E+12,40
Cohort#,B993126,1.67324E+12,1.67631E+12,100000
Cohort#,B322726,1.65476E+12,1.65486E+12,10
Cohort#,B506731,1.67385E+12,1.67691E+12,10000
Cohort#,B494001,1.66654E+12,1.66655E+12,60
Cohort#,B260744,1.66209E+12,1.66468E+12,500
Cohort#,B975943,1.66209E+12,1.66525E+12,1500
Cohort#,B357536,1.67294E+12,1.67295E+12,100000
Cohort#,BSGY1WA,1.73673E+12,1.73926E+12,800
Cohort#,B663194,1.66779E+12,1.67086E+12,1500
Cohort#,B389672,1.66512E+12,1.67039E+12,30
Cohort#,B374218,1.67324E+12,1.67631E+12,10000
Cohort#,B172386,1.67514E+12,1.67804E+12,1500
Cohort#,B167540,1.66779E+12,1.67086E+12,1500
Cohort#,B251425,1.66209E+12,1.66525E+12,1500
