opportunity_id,opportunity_name,category,opportunity_code,tracking_questions
Opportunity#000000000G127E8VYE08TXBT6X,Choosing and Planning for Your Major,Event,E501873,NULL
Opportunity#000000000G2PB6VB4ANR28CV2P,The Financial: Article Writing Competition Test,Competition,M523594,NULL
Opportunity#000000000G4AM4J9NBMPK3TJH6,Entrepreneurship and Innovation,Internship,I289641,NULL
Opportunity#000000000G4F19XBEXPWKS8F3N,Statement of Purpose (SOP) Writing Workshop,Event,E258709,NULL
Opportunity#000000000G4KVEP36NNJR5YWTJ,Project Management,Internship,I584159,NULL
Opportunity#000000000G8BW90E86ARRKM3MQ,Cybersecurity: Defensive Hacking,Internship,I155449,NULL
Opportunity#000000000G8JG2FEA12SVNXXEN,Esports and Game Design,Internship,I860340,NULL
Opportunity#000000000G95BD07NB0181K0XD,Data Visualization,Internship,I660879,NULL
Opportunity#000000000GBZ5VRTC3YS9T716N,Data Visualization,Internship,I755008,NULL
Opportunity#000000000GCKFV5K6Q8FWGFHC0,Choosing and Planning for Your Major + Career Exploration Workshops ? In-person,Event,E189319,NULL
Opportunity#000000000GCTJ4F7QXJWWMBDGH,Major and Career Exploration Workshop ,Event,E352968,NULL
Opportunity#000000000GDD59YDSJCXA2H46X,Entrepreneurship and Innovation,Internship,I252028,NULL
Opportunity#000000000GEHAHYHGRSY59TR1D,Building a Strong Application in a Test-Optional World,Event,E322161,NULL
Opportunity#000000000GG3B9VDBKAQM1D9J6,Teaching During The Time Of Disruption Test,Event,E289840,NULL
Opportunity#000000000GGJG260YZ8XEWZVW1,Digital Marketing,Internship,I127098,NULL
Opportunity#000000000GH4BAHF58NTZC0489,Million Dollar Idea,Competition,M584683,NULL
Opportunity#000000000GHGN3NG584M44MK40,Slide Geeks: A Presentation Design Competition,Competition,M429108,NULL
Opportunity#000000000GHXFZ9DEH0TDCZPF5,Junior Pumpkin Launch ? In-person,Competition,M103449,NULL
Opportunity#000000000GKZ7RSWWZA14JDC6N,Major and Career Exploration Workshop ? Virtual,Event,E296277,NULL
Opportunity#000000000GM6HGM7M067WVTTZN,Virtual Internship Facilitator Test,Career,A833703,NULL
Opportunity#000000000GN2A0AY7XK8C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,U533812,"{""is_required_for_badge_award"":""true"",""code"":""QBWTGGT"",""question"":""All deliverables submitted"",""is_frozen"":""false"",""ans_type"":""boolean""}"
Opportunity#000000000GP445J27EFRWEVVF4,Digital Marketing,Internship,I500671,NULL
Opportunity#000000000GR9GEA9CSJ66P2FTT,Analytics of all Industries - Test,Course,U229811,NULL
Opportunity#000000000GRABD28CXVVEYEX21,Health Care Management,Internship,I766853,"{""code"":""Q8CO9Y9"",""is_required_for_badge_award"":""true"",""question"":""Week 1 Active"",""is_frozen"":""false"",""ans_type"":""boolean""},{""code"":""QZ1KLSM"",""question"":""Attended Orientation"",""is_frozen"":""false"",""ans_type"":""boolean""},{""code"":""QYY8CJ2"",""question"":""Week 2 Active"",""is_frozen"":""false"",""ans_type"":""boolean""},{""code"":""Q0TJ0Y8"",""question"":""Week 3 Active"",""is_frozen"":""false"",""ans_type"":""boolean""},{""code"":""QQIBCYT"",""question"":""Week 4 Active"",""is_frozen"":""false"",""ans_type"":""boolean""},{""code"":""QCY41VH"",""question"":""Submitted Reflective Video"",""is_frozen"":""false"",""ans_type"":""boolean""},{""code"":""QKQ0A92"",""question"":""Submitted Feedback Form"",""is_frozen"":""false"",""ans_type"":""boolean""},{""code"":""Q7E8MDN"",""question"":""Dropped Out"",""is_frozen"":""false"",""ans_type"":""boolean""},{""code"":""QNO3XCQ"",""question"":""Week 1 Active"",""is_frozen"":""false"",""ans_type"":""boolean""}"
Opportunity#000000000GSC2DE9P9BZYJM2JN,Project Management,Internship,I161301,NULL
Opportunity#000000000GSCBSEBAWJJ9GB4AJ,Cybersecurity: Defensive Hacking,Internship,I207753,NULL
Opportunity#00000000104G3FS63SV3JKHVQB,Mental and Physical Health Session,Event,E2F0VCY,NULL
Opportunity#000000000GT8HCVB01AE6QEP8Y,Life Beyond Saint Louis University%27s Campus,Event,E522635,NULL
Opportunity#000000000GTRRM5R3WJ5660XBF,Esports and game design,Internship,I545663,NULL
Opportunity#000000000GTXSMAY2R1FXJXE79,Data Visualization Test,Internship,I875190,NULL
Opportunity#000000000GV12KQKY5Q4G9XQ3K,Developing Your Career Toolkit,Course,U266434,NULL
Opportunity#000000000GV62VN1R5Z01T9572,Biology Building Blocks: Cancer and Pathogens ? In-person,Event,E207779,NULL
Opportunity#000000000GWMB3J3P5D1Q81X1Z,Project Management - Test,Internship,I667361,NULL
Opportunity#000000000GYFQZEMS8Z53HMPS3,Virtual Internship Facilitator,Career,A209733,NULL
Opportunity#000000000GYPPN3KCCP6VGV4PY,Elevate Pledge Test,Event,E222478,NULL
Opportunity#000000000GZKMJYENG510PPMBN,Humanizing Technology: An Introduction to User Experience ? In-person,Event,E163868,NULL
Opportunity#000000001008QGDVY12NQ3R13E,Storysprint Empower Impactful Narratives,Competition,M3AGXCB,"{""serial_number"":""1"",""is_required_for_badge_award"":""true"",""code"":""QBAE71I"",""question"":""Submitted Deliverables"",""is_frozen"":""false"",""ans_type"":""boolean""},{""serial_number"":""2"",""is_required_for_badge_award"":""true"",""code"":""Q0T17EF"",""question"":""Submitted Reflection and Feedback"",""is_frozen"":""false"",""ans_type"":""boolean""},{""code"":""Q4NPRJF"",""is_required_for_badge_award"":""false"",""question"":""Additional Notes"",""is_frozen"":""false"",""ans_type"":""string""}"
Opportunity#00000000100BRZP6S5NA4Y05G3,Verses: A Poetry Writing Competition,Competition,MFZRYI1,"{""is_required_for_badge_award"":""true"",""code"":""QJWK75I"",""question"":""Deliverable Submitted"",""is_frozen"":""false"",""ans_type"":""boolean""},{""is_required_for_badge_award"":""true"",""code"":""QYSUYES"",""question"":""Reflective Video Submitted"",""is_frozen"":""false"",""ans_type"":""boolean""}"
Opportunity#00000000100JPM3A0WJ85T68M5,Jump Start: Developing your Emotional Intelligence,Course,URFOJWP,"{""is_required_for_badge_award"":""true"",""code"":""QYUK2MZ"",""question"":""Deliverables Submitted"",""is_frozen"":""false"",""ans_type"":""boolean""},{""is_required_for_badge_award"":""true"",""code"":""Q0DVFJU"",""question"":""Feedback Submitted"",""is_frozen"":""false"",""ans_type"":""boolean""},{""is_required_for_badge_award"":""true"",""code"":""QRO4QSX"",""question"":""Reflection Submitted"",""is_frozen"":""false"",""ans_type"":""boolean""},{""code"":""Q6N6DZF"",""is_required_for_badge_award"":""false"",""question"":""Additional Notes"",""is_frozen"":""false"",""ans_type"":""string""}"
Opportunity#00000000100KYYEP12K1HANVN6,Cybersecurity: Defensive Hacking,Internship,ICRFJ90,"{""is_required_for_badge_award"":""false"",""code"":""QD6JZ25"",""question"":""Orientation Meeting Attended"",""is_frozen"":""false"",""ans_type"":""boolean""},{""is_required_for_badge_award"":""true"",""code"":""QJKLC5V"",""question"":""Week 1 Deliverable"",""is_frozen"":""false"",""ans_type"":""boolean""},{""is_required_for_badge_award"":""true"",""code"":""Q9P988U"",""question"":""Week 2 Deliverable"",""is_frozen"":""false"",""ans_type"":""boolean""},{""is_required_for_badge_award"":""true"",""code"":""QMTGJ4W"",""question"":""Week 3 Deliverable"",""is_frozen"":""false"",""ans_type"":""boolean""},{""is_required_for_badge_award"":""true"",""code"":""QLRRIK3"",""question"":""Week 4 Deliverable"",""is_frozen"":""false"",""ans_type"":""boolean""},{""is_required_for_badge_award"":""true"",""code"":""QAD4H1D"",""question"":""Final Presentation "",""is_frozen"":""false"",""ans_type"":""boolean""},{""code"":""QV160TR"",""is_required_for_badge_award"":""false"",""question"":""Additional Notes"",""is_frozen"":""false"",""ans_type"":""string""}"
Opportunity#00000000100PMEVD9Q2DWHJP99,Mind Works: An Introduction to Psychology ,Masterclass,SLPPAHO,NULL
Opportunity#0000000010ED04727HV6YYKTJA,Business Bootcamp: A Comprehensive Guide for Young Entrepreneurs,Masterclass,SP7ZBPD,NULL
Opportunity#00000000100TMTVF60K2S9DAGW,Reflection Reports – Documenting Your Growth,Engagement,NLW8C9O,"{""serial_number"":""1"",""is_required_for_badge_award"":""true"",""code"":""QQA92B2"",""question"":""Submitted Deliverables"",""is_frozen"":""false"",""ans_type"":""boolean""},{""serial_number"":""0"",""code"":""Team"",""is_required_for_badge_award"":""false"",""question"":""Group Info"",""is_frozen"":""false"",""ans_type"":""string""},{""serial_number"":""1"",""code"":""Q7U2A9O"",""is_required_for_badge_award"":""false"",""question"":""Additional Notes"",""is_frozen"":""false"",""ans_type"":""string""}"
Opportunity#00000000101B18VTFGRESFT317,Complete Resume & Setup Career Services Appointment,Engagement,N2K517C,NULL
Opportunity#00000000101YHSX20DFJQCKQBR,AI Ethics Challenge,Competition,MNHPXZ4,NULL
Opportunity#0000000010EJ11XXYEM3CZ00E3,Begin Your Job Search,Engagement,N46DJXE,NULL
Opportunity#00000000102KVCRYDH806VMN7E,Cook a Tale,Competition,MVT6H0L,NULL
Opportunity#00000000102P0E1RESH59C398P,Tulip Application Development Masterclass,Masterclass,SSZ9T1H,"{""serial_number"":""1"",""is_required_for_badge_award"":""true"",""code"":""QY7H25B"",""question"":""Submitted Day 1 deliverables ?"",""is_frozen"":""false"",""ans_type"":""boolean""},{""serial_number"":""2"",""is_required_for_badge_award"":""true"",""code"":""Q8HD5T2"",""question"":""Submitted Day 2 deliverables ?"",""is_frozen"":""false"",""ans_type"":""boolean""},{""serial_number"":""3"",""is_required_for_badge_award"":""true"",""code"":""QJ2FBPQ"",""question"":""Submitted Day 3 deliverables ?"",""is_frozen"":""false"",""ans_type"":""boolean""},{""serial_number"":""4"",""is_required_for_badge_award"":""true"",""code"":""QHUS45U"",""question"":""Submitted Reflective Video ?"",""is_frozen"":""false"",""ans_type"":""boolean""},{""serial_number"":""0"",""code"":""Team"",""is_required_for_badge_award"":""false"",""question"":""Group Info"",""is_frozen"":""false"",""ans_type"":""string""},{""serial_number"":""1"",""code"":""QCOQMDZ"",""is_required_for_badge_award"":""false"",""question"":""Additional Notes"",""is_frozen"":""false"",""ans_type"":""string""}"
Opportunity#00000000102S9XBS7SM4KB0Q57,Secrets to Operational Excellence Course,Course,URMUHH7,"{""serial_number"":""1"",""is_required_for_badge_award"":""true"",""code"":""QPPQPNE"",""question"":""Submitted deliverables?"",""is_frozen"":""false"",""ans_type"":""boolean""},{""serial_number"":""2"",""is_required_for_badge_award"":""true"",""code"":""QHOKKJX"",""question"":""Submitted reflection and Feedback"",""is_frozen"":""false"",""ans_type"":""boolean""},{""serial_number"":""0"",""code"":""Team"",""is_required_for_badge_award"":""false"",""question"":""Group Info"",""is_frozen"":""false"",""ans_type"":""string""},{""serial_number"":""1"",""code"":""QIOUQX0"",""is_required_for_badge_award"":""false"",""question"":""Additional Notes"",""is_frozen"":""false"",""ans_type"":""string""}"
