learner_id,country,degree,institution,major
Learner#00004f18-8b86-4fe4-ad7e-6c8d988f5335,Nigeria,Undergraduate Student,Federal University of Technology Owerru,Civil Engineering
Learner#00006478-745f-49bf-b126-02584e830720,Nigeria,NULL,NULL,NULL
Learner#00010567-1336-433c-a941-a612b3d2fbb8,Kenya,Graduate Student,UNICAF UNIVERSITY,Environmental Sustainability
Learner#00011c80-0c5c-4601-9696-b3ca787e264f,Bangladesh,NULL,NULL,NULL
Learner#000141a7-4c82-401f-a2e6-dd12b4b26089,Nigeria,NULL,NULL,NULL
Learner#0acf3501-57a8-4585-91e3-6bbb89d3c801,Ghana,NULL,NULL,NULL
Learner#0001ca2c-7bec-4a33-833c-b844a29f4dea,Nigeria,Graduate Student,"Nasarawa State University, Keffi",Accounting
Learner#0003bed9-d9d9-49a7-a755-a9562aaa0dfb,Pakistan,Graduate Student,CTTI College KP Campus,Part Time
Learner#0004295c-717e-4953-b3bf-fff2daf0e903,Nigeria,Undergraduate Student,Caleb University,Computer Science
Learner#00049a81-94a9-4b25-92ed-62d017f3b67a,Philippines,Undergraduate Student,Our lady of fatima university,Nursing
Learner#0005243a-868e-41c4-8d53-3a6164923679,Pakistan,Graduate Student,PGMI,Doctor
Learner#00064ab2-0e32-4b50-8d8c-5c6b0d09937d,India,NULL,NULL,NULL
Learner#000687a6-b0e3-4f21-9df8-98ad0db2ff7e,India,NULL,NULL,NULL
Learner#000693c5-fafb-4d03-867d-ac6c825db75a,India,NULL,NULL,NULL
Learner#00070ea9-aa88-4018-8af2-aec93139ff21,Nigeria,NULL,NULL,NULL
Learner#00075a4d-e755-4ea6-9ef2-e4119495ad49,Nigeria,Graduate Student,Durham University,Finance
Learner#00084381-3917-4d03-9639-0a501aa68c2e,India,High School Student,Saket International School,Medicine
Learner#000893c1-93cc-425f-b690-ca830f8183da,United Arab Emirates,NULL,NULL,NULL
Learner#000926e9-66af-4e40-a788-538e74b9a03c,Pakistan,Graduate Student,Air University,Marketing
Learner#0009b4f7-1824-40d9-8391-a7e64bec692f,India,NULL,NULL,NULL
Learner#0009e8ae-95a0-4b58-b5dd-06b90d14ea4f,Nepal,Undergraduate Student,Global college international,Travel and Tourism
Learner#000aadea-9982-4a02-9851-64ef077756f8,Pakistan,NULL,NULL,NULL
Learner#000b6d82-3ac0-46cd-aece-333b3e1ff8a3,India,NULL,NULL,NULL
Learner#000bce06-dbee-4d9f-988c-26ed26ab9948,India,Undergraduate Student,MG University,Cyber Security
Learner#000e0279-b2a9-4891-ad00-0284d52a065d,Pakistan,Undergraduate Student,"FAST NUCES, Islamabad",Computer Science
